archivo,caption,anio
2012/12kaai (3).webp,"The Life and Times of Ernest Ka'ai, 180 x 220cm. Acrílico sobre lienzo",2012
2012/12kaai (4).webp,"The Life and Times of Ernest Ka'ai, Galería Álvaro Alcázar, Madrid",2012
2012/12kaai (5).webp,"The Life and Times of Ernest Ka'ai, Galería Álvaro Alcázar, Madrid",2012
2012/12kaai (6).webp,"The Life and Times of Ernest Ka'ai, 140 x 180cm. Acrílico sobre lienzo",2012
2012/12kaai (7).webp,"The Life and Times of Ernest Ka'ai, 140 x 180cm. Acrílico sobre lienzo",2012
2011/11Hono (1).webp,"El cielo sobre Honolulu, 200 x 200cm. Acrílico sobre lienzo. Colección DKV",2011
2011/11Hono (3).webp,"El cielo sobre Honolulu (He Inoa No Ka'iuliani), 140 x 200cm. Acrílico sobre lienzo",2011
2011/11Hono (2).webp,"El cielo sobre Honolulu (Ka Ipo Lei Manu), 180 x 220cm. Acrílico sobre lienzo",2011
2011/11Hono (4).webp,"El cielo sobre Honolulu (Ka Ipo Lei Manu), 180 x 220cm. Acrílico sobre lienzo",2011
2011/11Hono (8).webp,"El cielo sobre Honolulu (Ka Ipo Lei Manu), 180 x 220cm. Acrílico sobre lienzo",2011
2011/11Hono (5).webp,"El cielo sobre Honolulu, Galería Sandunga, Granada",2011
2011/11Hono (6).webp,"El cielo sobre Honolulu, Galería Sandunga, Granada",2011
2011/11Hono (7).webp,"El cielo sobre Honolulu, Galería Sandunga, Granada",2011
2010/10rem (2).webp,"Rememorando Le Voyeur, 140, 200cm. Acrílico sobre lienzo. Colección Fundación Mediterráneo",2010
2010/10rem (1).webp,"Rememorando Le Voyeur, 140, 200cm. Acrílico sobre lienzo. Colección Fundación Mediterráneo",2010
2010/10rem (3).webp,"Rememorando Le Voyeur, 180 x 220cm. Acrílico sobre lienzo",2010
2010/10rem (4).webp,"Rememorando Le Voyeur, 180 x 220cm. Acrílico sobre lienzo",2010
2009/09aki (1).webp,"Akibiyori, Centro Andaluz de Arte Contemporáneo Sevilla",2009
2009/09aki (2).webp,"Akibiyori, Centro Andaluz de Arte Contemporáneo Sevilla",2009
2009/09aki (3).webp,"Akibiyori, Centro Andaluz de Arte Contemporáneo Sevilla",2009
2009/09aki (4).webp,"Akibiyori, Centro Andaluz de Arte Contemporáneo Sevilla",2009
2009/09tann (1).webp,"Tannhauser, 160 x 200cm. Acrílico sobre lienzo. Colección Ayuntamiento de Pamplona",2009
2009/09tann (2).webp,"Tannhauser, 180 x 220cm. Acrílico sobre lienzo. Colección Ars-Fundum",2009
2008/08rema (2).webp,"Rema, 160 x 200cm. Emulsión sobre lienzo",2008
2008/08rema (3).webp,"Rema (Monica Vitti), 160 x 200cm. Emulsión sobre lienzo",2008
2008/08rema (5).webp,"Rema, 180 x 220cm. Emulsión sobre lienzo",2008
2008/08rema (6).webp,"Rema, 100 x 125cm. Emulsión sobre lienzo",2008
2008/08rema (7).webp,"Rema, 180 x 220cm. Emulsión sobre lienzo",2008
2008/08rema (8).webp,"Rema, 48 x 60cm. Emulsión sobre lienzo",2008
2008/08rema (1).webp,"Rema CAC Málaga",2008
2008/08rema (4).webp,"Rema, CAC Málaga",2008
2007/07casaHK (1).webp,"La casa de Hong Kong, 160 x 200cm. Acrílico sobre lienzo. Colección Universidad de Murcia.2007",2007
2007/07casaHK (2).webp,"La casa de Hong Kong, 160 x 200cm. Acrílico sobre lienzo",2007
2007/07casaHK (3).webp,"La casa de Hong Kong, 160 x 200cm. Acrílico sobre lienzo",2007
2007/07casaHK (4).webp,"La casa de Hong Kong, 160 x 200cm. Acrílico sobre lienzo. Colección Cajasol",2007
2007/07casaHK (5).webp,"La casa de Hong Kong, 160 x 200cm. Acrílico sobre lienzo. Colección Cajasol",2007
2007/07casaHK (6).webp,"La casa de Hong Kong, 180 x 220cm. Acrílico sobre lienzo. Colección Ars Fundum",2007
2007/07casaHK (7).webp,"La casa de Hong Kong, Iglesia de Santa Lucía, Sevilla",2007
2007/07casaHK (8).webp,"La casa de Hong Kong, 200 x 320cm. Acrílico sobre lienzo",2007
2007/07casaHK (9).webp,"La casa de Hong Kong, Iglesia de Santa Lucía, Sevilla",2007
2007/07casaHK (10).webp,"La casa de Hong Kong, 48 x 60cm. Acrílico sobre lienzo",2007
2007/07casaHK (11).webp,"La casa de Hong Kong, Iglesia de Santa Lucía, Sevilla",2007
2007/07still (1).webp,"Still, Artium, Vitoria",2007
2007/07still (2).webp,"Still, Artium, Vitoria",2007
2006/06jal (2).webp,"La Jalousie, Palacio de los Condes de Gabia, Granada",2006
2006/06jal (6).webp,"La Jalousie, Palacio de los Condes de Gabia, Granada",2006
2006/06jal (7).webp,"La Jalousie, Palacio de los Condes de Gabia, Granada",2006
2006/06jal (8).webp,"La Jalousie, Palacio de los Condes de Gabia, Granada",2006
2006/06jal (3).webp,"La Jalousie, 180 x 220cm. Acrílico sobre lienzo",2006
2006/06jal (4).webp,"La Jalousie, 180 x 220cm. Acrílico sobre lienzo. Colección Centro Andaluz de Arte Contemporáneo",2006
2006/06jal (5).webp,"La Jalousie, 180 x 200cm. Acrílico sobre lienzo. Colección Bankia",2006
2006/06jal (1).webp,"La Jalousie, 160 x 200cm (tríptico). Acrílico sobre lienzo. Colección Unicaja",2006
2006/06jal (9).webp,"La Jalousie, 2006, 160 x 200cm (tríptico). Acrílico sobre lienzo. Colección Unicaja",2006
2006/06jal (10).webp,"La Jalousie, 2006, 160 x 200cm (tríptico). Acrílico sobre lienzo. Colección Unicaja",2006
2004/04voy.webp,"Le Voyeur, 130 x 160cm. Montaje fotográfico",2004


